A=9127 B=5672 C=5758 X=641031208 Y=3761308377 Z=75577790180 M=2973
A=9132 B=5633 C=5689 X=958122296 Y=2423687195 Z=64956046349 M=6485
A=3790 B=5585 C=9817 X=352210838 Y=6117139599 Z=91283352790 M=3513
A=4427 B=8187 C=9405 X=871365054 Y=9363776860 Z=35486125012 M=9568
A=2909 B=7712 C=7539 X=486547617 Y=1784764741 Z=72452134233 M=8617
A=3744 B=9710 C=7192 X=342719388 Y=1997382925 Z=51686505288 M=2947
A=5045 B=8178 C=9906 X=536766725 Y=6439387436 Z=94988380922 M=9866
A=3921 B=7466 C=9010 X=791250016 Y=1200143470 Z=25365230713 M=7949
A=6803 B=3475 C=5453 X=409355671 Y=6590845660 Z=34844773015 M=1926
A=8589 B=5862 C=7780 X=535673308 Y=5776117325 Z=80850300084 M=2097
A=6759 B=9532 C=9423 X=760869346 Y=5567844348 Z=19583658887 M=6114
A=7649 B=6200 C=6490 X=615056083 Y=1427352059 Z=70343081365 M=3265
A=3591 B=4163 C=5445 X=152723477 Y=5911824383 Z=68237417797 M=9004
A=9962 B=8590 C=8185 X=904042932 Y=6364543028 Z=90075380386 M=8170
A=8330 B=8822 C=6179 X=893751097 Y=7054300026 Z=49431916034 M=2806
A=4661 B=6432 C=8274 X=963472302 Y=5931055676 Z=14045890661 M=8471
A=2428 B=4792 C=7939 X=955277789 Y=2124205317 Z=56523715091 M=9900
A=2809 B=3808 C=9044 X=593944855 Y=9634895336 Z=57422536231 M=5261
A=9228 B=7496 C=7238 X=807383184 Y=3591996103 Z=96593500605 M=8331
A=6112 B=6635 C=8456 X=876012084 Y=6546637782 Z=96340314772 M=7939
A=6096 B=4048 C=8066 X=563654442 Y=2777528984 Z=80399591056 M=2832
A=8027 B=6746 C=7438 X=876639096 Y=8211518660 Z=49394741979 M=8593
A=8435 B=6640 C=9715 X=709540879 Y=8514457211 Z=56741526796 M=9436
A=8410 B=5720 C=6910 X=787754737 Y=9215614581 Z=22467787854 M=7322
A=9100 B=4602 C=5437 X=810231341 Y=6495551153 Z=49097212654 M=6139
A=6923 B=8980 C=7009 X=727457273 Y=9104375357 Z=94603128924 M=6077
A=9876 B=8044 C=5081 X=760622294 Y=2071299812 Z=52925294029 M=9288
A=8068 B=4890 C=9121 X=435043167 Y=9655151189 Z=87267061639 M=2199
A=7896 B=3704 C=9645 X=421849652 Y=2070282428 Z=41222482015 M=6531
